17:59:04.263810 Soft reset: 0x0000 0x0000 last 0x0000 0x0000
17:59:04.348461 Running 00:00:00:04.477, about 58 task loops/ms
17:59:07.882839 Running 00:00:00:08.003, about 58 task loops/ms
17:59:15.878960 Running 00:00:00:16.001, about 58 task loops/ms
17:59:23.842663 Running 00:00:00:23.981, about 58 task loops/ms
17:59:31.853589 Running 00:00:00:31.979, about 58 task loops/ms
18:00:04.744366 Soft reset: 0x0000 0x0000 last 0x0000 0x0000
18:00:04.828077 Running 00:00:00:04.493, about 58 task loops/ms
18:00:08.342639 Running 00:00:00:08.001, about 58 task loops/ms
18:00:16.341868 Running 00:00:00:16.011, about 58 task loops/ms
18:00:24.323374 Running 00:00:00:23.981, about 58 task loops/ms
18:00:32.310270 Running 00:00:00:31.977, about 58 task loops/ms
18:00:40.306352 Running 00:00:00:39.973, about 58 task loops/ms
18:00:48.302114 Running 00:00:00:47.971, about 58 task loops/ms
18:00:56.273067 Running 00:00:00:55.952, about 58 task loops/ms
18:01:04.279024 Running 00:00:01:03.949, about 58 task loops/ms
18:01:12.281346 Running 00:00:01:11.948, about 58 task loops/ms
18:01:20.257018 Running 00:00:01:19.941, about 58 task loops/ms
18:01:28.256446 Running 00:00:01:27.939, about 58 task loops/ms
18:01:36.246744 Running 00:00:01:35.922, about 58 task loops/ms
18:01:44.227447 Running 00:00:01:43.917, about 58 task loops/ms
18:01:52.228829 Running 00:00:01:51.915, about 58 task loops/ms
18:02:00.224807 Running 00:00:01:59.911, about 58 task loops/ms
18:02:08.220533 Running 00:00:02:07.895, about 58 task loops/ms
18:02:16.217395 Running 00:00:02:15.891, about 58 task loops/ms
18:02:24.211650 Running 00:00:02:23.889, about 58 task loops/ms
18:02:32.192724 Running 00:00:02:31.870, about 58 task loops/ms
18:02:40.172422 Running 00:00:02:39.865, about 58 task loops/ms
18:02:48.184472 Running 00:00:02:47.864, about 58 task loops/ms
18:02:56.171816 Running 00:00:02:55.860, about 58 task loops/ms
18:03:04.161069 Running 00:00:03:03.842, about 58 task loops/ms
18:03:12.150657 Running 00:00:03:11.839, about 58 task loops/ms
18:03:20.151957 Running 00:00:03:19.836, about 58 task loops/ms
18:03:28.146675 Running 00:00:03:27.834, about 58 task loops/ms
18:03:36.127345 Running 00:00:03:35.816, about 58 task loops/ms
18:03:44.123599 Running 00:00:03:43.812, about 58 task loops/ms
18:03:52.113870 Running 00:00:03:51.809, about 58 task loops/ms
18:04:00.099270 Running 00:00:03:59.791, about 58 task loops/ms
18:04:08.087947 Running 00:00:04:07.787, about 58 task loops/ms
18:04:16.082996 Running 00:00:04:15.784, about 58 task loops/ms
18:04:24.070955 Running 00:00:04:23.780, about 58 task loops/ms
18:04:32.055402 Running 00:00:04:31.762, about 58 task loops/ms
18:04:40.062562 Running 00:00:04:39.760, about 58 task loops/ms
18:04:48.042217 Running 00:00:04:47.755, about 58 task loops/ms
18:04:56.043560 Running 00:00:04:55.753, about 58 task loops/ms
18:05:04.033008 Running 00:00:05:03.735, about 58 task loops/ms
18:05:12.024431 Running 00:00:05:11.732, about 58 task loops/ms
18:05:20.026160 Running 00:00:05:19.730, about 58 task loops/ms
18:05:28.022193 Running 00:00:05:27.728, about 58 task loops/ms
18:05:35.999618 Running 00:00:05:35.708, about 58 task loops/ms
18:05:43.998446 Running 00:00:05:43.705, about 58 task loops/ms
18:05:51.992499 Running 00:00:05:51.703, about 58 task loops/ms
18:05:59.981586 Running 00:00:05:59.699, about 58 task loops/ms
18:06:07.981720 Running 00:00:06:07.696, about 58 task loops/ms
18:06:15.966075 Running 00:00:06:15.677, about 58 task loops/ms
18:06:23.942527 Running 00:00:06:23.672, about 58 task loops/ms
18:06:31.940937 Running 00:00:06:31.670, about 58 task loops/ms
18:06:39.937505 Running 00:00:06:39.653, about 58 task loops/ms
18:06:47.916387 Running 00:00:06:47.648, about 58 task loops/ms
18:06:55.928136 Running 00:00:06:55.648, about 58 task loops/ms
18:07:03.910853 Running 00:00:07:03.644, about 58 task loops/ms
18:07:11.905802 Running 00:00:07:11.626, about 58 task loops/ms
18:07:19.901009 Running 00:00:07:19.623, about 58 task loops/ms
18:07:27.879961 Running 00:00:07:27.618, about 58 task loops/ms
18:07:35.867985 Running 00:00:07:35.601, about 58 task loops/ms
18:07:43.856263 Running 00:00:07:43.596, about 58 task loops/ms
18:07:51.868856 Running 00:00:07:51.609, about 58 task loops/ms
18:07:59.863280 Running 00:00:07:59.593, about 58 task loops/ms
18:08:07.835695 Running 00:00:08:07.573, about 58 task loops/ms
18:08:15.824113 Running 00:00:08:15.568, about 58 task loops/ms
18:08:23.820220 Running 00:00:08:23.567, about 58 task loops/ms
18:08:31.823464 Running 00:00:08:31.564, about 58 task loops/ms
18:08:39.812482 Running 00:00:08:39.561, about 58 task loops/ms
18:08:47.807750 Running 00:00:08:47.544, about 58 task loops/ms
18:09:26.460379 Soft reset: 0x0000 0x0000 last 0x0000 0x0000
18:09:26.543551 Running 00:00:00:04.487, about 58 task loops/ms
18:09:30.043978 Running 00:00:00:07.994, about 58 task loops/ms
18:09:38.041523 Running 00:00:00:15.992, about 58 task loops/ms
18:09:46.053894 Running 00:00:00:23.992, about 58 task loops/ms
18:09:54.034268 Running 00:00:00:31.985, about 58 task loops/ms
18:10:02.029619 Running 00:00:00:39.970, about 58 task loops/ms
18:10:10.014646 Running 00:00:00:47.966, about 58 task loops/ms
18:10:18.020950 Running 00:00:00:55.963, about 58 task loops/ms
18:10:25.994469 Running 00:00:01:03.944, about 58 task loops/ms
18:10:33.983790 Running 00:00:01:11.941, about 58 task loops/ms
18:10:41.996092 Running 00:00:01:19.940, about 58 task loops/ms
